................................................................................................................X.O...........X...............X...O...........X.............O.O..................................................,.X
..............................................................................................................X.X.O...........X...............X...O...........X.............O.O..................................................,.X
................................................................................................................X.O...........................X...O...........X.............O....................................................,.X
............................................................................................................O.O.X...........X..X............O..............X.....................................................................,.X
...........................................................................................................OOXO.X...........XX.X............OO.............X.....................................................................,.X
..............................................................................................................O.X...........X...............O....................................................................................,.X
...........................................................................................................OOXO.X...........XXOX............OOX............X.O...................................................................,.X
...........................................................................................................OO.O.X...........X..X............O..............X.....................................................................,.X
..............................................................................................................O.X...........X...............O..............X.....................................................................,.X
...........................................................................................................OOXO.X...........XXOX............OO.............X.....................................................................,.X
...........................................................................................................OOXO.X...........XXOX............OOX............X.....................................................................,.X
...........................................................................................................OOXO.X...........X..X............O..............X.....................................................................,.X
............................................................................................................O.O.X...........X...............O..............X.....................................................................,.X
...........................................................................................................OOXO.X...........X..X............OO.............X.....................................................................,.X
................................................................................................................X...........................O....................................................................................,.XXX
................................................................................................................X...........................O...................X................................................................,.XXX
................................................................................................................X...........O.....X.........O...............O...X...........X....................................................,.X
................................................................................................................X.OX........O....XX.O.......O...OOX.........O...X...........X....................................................,.X
................................................................................................................X...........O.....X.........O...O...........O...X...........X....................................................,.X
................................................................................................................X.................X.........O...............O...X................................................................,.X
................................................................................................................X...........................O...............O...X................................................................,.X
................................................................................................................X..X........O.....X.........O...OO..........O...X...........X....................................................,.X
................................................................................................................X.OX........O.....X.........O...OOX.........O...X...........X....................................................,.X
................................................................................................................X.OX........O....XX.........O...OOX.........O...X...........X....................................................,.X
................................................................................................................X..X........O.....X.........O...O...........O...X...........X....................................................,.X
................................................................................................................X...........O.....X.........O...............O...X................................................................,.X
................................................................................................................X..X........O.....X.........O...OOX.........O...X...........X....................................................,.X
............................................................................................................O...X...........................O...................X................................................................,.X
............................................................................................X...............O...X...........O...............O...................X...........X....................................................,.X
............................................................................................X...............O...X...........O...O.X.........O.O.X...............X...........X....................................................,.X
............................................................................................................O...X...........O...............O...................X...........X....................................................,.X
............................................................................................X...............O...X...........O...O...........O.O.X...............X...........X....................................................,.X
............................................................................................X...............O...X...........O...............O.O.................X...........X....................................................,.X
............................................................................................X...............O...X...........O...O.X.........O.O.X.............O.X...........X.XO.................................................,.X
............................................................................................X...............O...X...........O...O.X.........O.O.X.............O.X...........X.X..................................................,.X
............................................................................................................O...X...........................O...................X...........X....................................................,.X
............................................................................................X...............O...X...........O...............O.O.X...............X...........X....................................................,.X
............................................................................................X...............O...X...........O...O.X.........O.O.X.............O.X...........X....................................................,.X
....................................X...............O...............O...............O...........................X.O.X...........O.O.............X.X...........X.X................................................................,.X
....................................................................................O...........................X...............................................X................................................................,.XXXXX
....................................X...............O...............O...............O...........................X.O.X...........O...............X.............X.X................................................................,.X
....................................X...............O...............O...............O...........................X.O.X...........O...............X...............X................................................................,.X
